,dish_name,prompt,sub_prompt,response_txt,finish_reason
0,Pasta,"I want to make a dish, Name of the Dish : ""Pasta"", Give me response back ONLY in the below JSON format, fill up everything that is enclosed by <..> (angle brackets):
{
    ""dishName"": ""<NAME OF THE DISH>"",
    ""howTo"": ""<HOW TO MAKE THE DISH IN HTML/TEXT FORMAT YOU CAN SKIP NEW LINE CHARACTER>"",
    ""ingredients"": [
        ""<INGREDITENT1 NAME ONLY>"",
        ""<INGREDITENT2 NAME ONLY>"",
        ""<INGREDITENT3 NAME ONLY>"".... and so on
    ],

    ""requiredQuantity"": ""<INGREDIENT ALONG WITH THEIR QUANTITY IN HTML TABLE AS TEXT YOU CAN SKIP NEW LINE CHARACTER>""
}",MAKE-DISH->Pasta,"

{
    ""dishName"": ""Pasta"",
    ""howTo"": ""Boil the pasta according to the instructions on the packet. Heat oil in a pan and add garlic, onion and sauté for a few minutes. Add the vegetables of your choice and cook for a few minutes. Add the boiled pasta, salt, pepper, oregano, basil and mix everything together. Add the tomato sauce and mix well. Serve hot."",
    ""ingredients"": [
        ""Pasta"",
        ""Garlic"",
        ""Onion"",
        ""Vegetables"",
        ""Salt"",
        ""Pepper"",
        ""Oregano"",
        ""Basil"",
        ""Tomato Sauce""
    ],

    ""requiredQuantity"": ""<table><tr><th>Ingredient</th><th>Quantity</th></tr><tr><td>Pasta</td><td>As per packet instructions</td></tr><tr><td>Garlic</td><td>2 cloves</td></tr><tr><td>Onion</td><td>1 medium</td></tr><tr><td>Vegetables</td><td>1 cup</td></tr><tr><td>Salt</td><td>To taste</td></tr><tr><td>Pepper</td><td>To taste</td></tr><tr><td>Oregano</td><td>1/2 teaspoon</td></tr><tr><td>Basil</td><td>1/2 teaspoon</td></tr><tr><td>Tomato Sauce</td><td>1/2 cup</td></tr></table>""
}",stop
1,Pasta,"I want to make a dish, Name of the Dish : ""Pasta"", Give me response back ONLY in the below JSON format, fill up everything that is enclosed by <..> (angle brackets):
{
    ""dishName"": ""<NAME OF THE DISH>"",
    ""howTo"": ""<HOW TO MAKE THE DISH IN HTML/TEXT FORMAT YOU CAN SKIP NEW LINE CHARACTER>"",
    ""ingredients"": [
        ""<INGREDITENT1 NAME ONLY>"",
        ""<INGREDITENT2 NAME ONLY>"",
        ""<INGREDITENT3 NAME ONLY>"".... and so on
    ],

    ""requiredQuantity"": ""<INGREDIENT ALONG WITH THEIR QUANTITY IN HTML TABLE AS TEXT YOU CAN SKIP NEW LINE CHARACTER>""
}",MAKE-DISH->Pasta,"

{
    ""dishName"": ""Pasta"",
    ""howTo"": ""Boil the pasta in a large pot of salted water. Drain the pasta and transfer it to a large bowl. Heat the olive oil in a large skillet over medium heat. Add the garlic and cook until fragrant, about 1 minute. Add the tomatoes and season with salt and pepper. Cook until the tomatoes are softened, about 5 minutes. Add the cooked pasta to the skillet and toss to combine. Serve with grated Parmesan cheese."",
    ""ingredients"": [
        ""Pasta"",
        ""Olive Oil"",
        ""Garlic"",
        ""Tomatoes"",
        ""Salt"",
        ""Pepper"",
        ""Parmesan Cheese""
    ],
    ""requiredQuantity"": ""Pasta - 500g<br>Olive Oil - 2 tablespoons<br>Garlic - 2 cloves<br>Tomatoes - 2 cups<br>Salt - to taste<br>Pepper - to taste<br>Parmesan Cheese - as required""
}",stop
2,Pasta,"I want to make a dish, Name of the Dish : ""Pasta"", Give me response back ONLY in the below JSON format, fill up everything that is enclosed by <..> (angle brackets):
{
    ""dishName"": ""<NAME OF THE DISH>"",
    ""howTo"": ""<HOW TO MAKE THE DISH IN HTML/TEXT FORMAT YOU CAN SKIP NEW LINE CHARACTER>"",
    ""ingredients"": [
        ""<INGREDITENT1 NAME ONLY>"",
        ""<INGREDITENT2 NAME ONLY>"",
        ""<INGREDITENT3 NAME ONLY>"".... and so on
    ],

    ""requiredQuantity"": ""<INGREDIENT ALONG WITH THEIR QUANTITY IN HTML TABLE AS TEXT YOU CAN SKIP NEW LINE CHARACTER>""
}",MAKE-DISH->Pasta,"

{
    ""dishName"": ""Pasta"",
    ""howTo"": ""Boil water in a large pot. Add salt and oil to the boiling water. Add the pasta to the boiling water and stir. Cook the pasta for 8-10 minutes. Drain the pasta and add your favorite sauce. Serve hot."",
    ""ingredients"": [
        ""Pasta"",
        ""Salt"",
        ""Oil"",
        ""Sauce""
    ],

    ""requiredQuantity"": ""<table><tr><th>Ingredient</th><th>Quantity</th></tr><tr><td>Pasta</td><td>1 packet</td></tr><tr><td>Salt</td><td>1 teaspoon</td></tr><tr><td>Oil</td><td>1 tablespoon</td></tr><tr><td>Sauce</td><td>As per taste</td></tr></table>""
}",stop
3,Omelet,"I want to make a dish, Name of the Dish : ""Omelet"", Give me response back ONLY in the below JSON format, fill up everything that is enclosed by <..> (angle brackets):
{
    ""dishName"": ""<NAME OF THE DISH>"",
    ""howTo"": ""<HOW TO MAKE THE DISH IN HTML/TEXT FORMAT YOU CAN SKIP NEW LINE CHARACTER>"",
    ""ingredients"": [
        ""<INGREDITENT1 NAME ONLY>"",
        ""<INGREDITENT2 NAME ONLY>"",
        ""<INGREDITENT3 NAME ONLY>"".... and so on
    ],

    ""requiredQuantity"": ""<INGREDIENT ALONG WITH THEIR QUANTITY IN HTML TABLE AS TEXT YOU CAN SKIP NEW LINE CHARACTER>""
}",MAKE-DISH->Omelet,"

{
    ""dishName"": ""Omelet"",
    ""howTo"": ""Beat eggs in a bowl and add salt and pepper to taste. Heat a non-stick pan over medium heat. Add butter to the pan and let it melt. Pour the egg mixture into the pan and let it cook for 2 minutes. Flip the omelet and let it cook for another minute. Serve hot."",
    ""ingredients"": [
        ""Eggs"",
        ""Salt"",
        ""Pepper"",
        ""Butter""
    ],
    ""requiredQuantity"": ""<table><tr><td>Eggs</td><td>2</td></tr><tr><td>Salt</td><td>To taste</td></tr><tr><td>Pepper</td><td>To taste</td></tr><tr><td>Butter</td><td>1 tablespoon</td></tr></table>""
}",stop
4,Omelet,"I want to make a dish, Name of the Dish : ""Omelet"", Give me response back ONLY in the below JSON format, fill up everything that is enclosed by <..> (angle brackets):
{
    ""dishName"": ""<NAME OF THE DISH>"",
    ""howTo"": ""<HOW TO MAKE THE DISH IN HTML/TEXT FORMAT YOU CAN SKIP NEW LINE CHARACTER>"",
    ""ingredients"": [
        ""<INGREDITENT1 NAME ONLY>"",
        ""<INGREDITENT2 NAME ONLY>"",
        ""<INGREDITENT3 NAME ONLY>"".... and so on
    ],

    ""requiredQuantity"": ""<INGREDIENT ALONG WITH THEIR QUANTITY IN HTML TABLE AS TEXT YOU CAN SKIP NEW LINE CHARACTER>""
}",MAKE-DISH->Omelet,"

{
    ""dishName"": ""Omelet"",
    ""howTo"": ""Whisk eggs in a bowl. Add salt, pepper, and any other desired ingredients. Heat a small amount of butter in a skillet over medium-high heat. Pour the egg mixture into the skillet. As the omelet cooks, use a spatula to lift the edges, allowing the uncooked egg to flow underneath. When the eggs are nearly set, add any desired fillings. Fold the omelet in half and slide it onto a plate."",
    ""ingredients"": [
        ""Eggs"",
        ""Salt"",
        ""Pepper"",
        ""Butter""
    ],

    ""requiredQuantity"": ""Eggs - 2<br>Salt - to taste<br>Pepper - to taste<br>Butter - 1 tablespoon""
}",stop
5,Omelet,"I want to make a dish, Name of the Dish : ""Omelet"", Give me response back ONLY in the below JSON format, fill up everything that is enclosed by <..> (angle brackets):
{
    ""dishName"": ""<NAME OF THE DISH>"",
    ""howTo"": ""<HOW TO MAKE THE DISH IN HTML/TEXT FORMAT YOU CAN SKIP NEW LINE CHARACTER>"",
    ""ingredients"": [
        ""<INGREDITENT1 NAME ONLY>"",
        ""<INGREDITENT2 NAME ONLY>"",
        ""<INGREDITENT3 NAME ONLY>"".... and so on
    ],

    ""requiredQuantity"": ""<INGREDIENT ALONG WITH THEIR QUANTITY IN HTML TABLE AS TEXT YOU CAN SKIP NEW LINE CHARACTER>""
}",MAKE-DISH->Omelet,"

{
    ""dishName"": ""Omelet"",
    ""howTo"": ""In a bowl, whisk together eggs, milk, salt and pepper. Heat a lightly oiled skillet over medium-high heat. Pour the egg mixture into the pan and cook, stirring occasionally, until the eggs are almost set. Add the cheese and any other desired fillings, and cook until the eggs are completely set. Serve hot."",
    ""ingredients"": [
        ""Eggs"",
        ""Milk"",
        ""Salt"",
        ""Pepper"",
        ""Cheese""
    ],

    ""requiredQuantity"": ""Eggs: 2<br>Milk: 2 tablespoons<br>Salt: 1/4 teaspoon<br>Pepper: 1/4 teaspoon<br>Cheese: 2 tablespoons""
}",stop
6,Scrambled Eggs,"I want to make a dish, Name of the Dish : ""Scrambled Eggs"", Give me response back ONLY in the below JSON format, fill up everything that is enclosed by <..> (angle brackets):
{
    ""dishName"": ""<NAME OF THE DISH>"",
    ""howTo"": ""<HOW TO MAKE THE DISH IN HTML/TEXT FORMAT YOU CAN SKIP NEW LINE CHARACTER>"",
    ""ingredients"": [
        ""<INGREDITENT1 NAME ONLY>"",
        ""<INGREDITENT2 NAME ONLY>"",
        ""<INGREDITENT3 NAME ONLY>"".... and so on
    ],

    ""requiredQuantity"": ""<INGREDIENT ALONG WITH THEIR QUANTITY IN HTML TABLE AS TEXT YOU CAN SKIP NEW LINE CHARACTER>""
}",MAKE-DISH->Scrambled Eggs,"

{
    ""dishName"": ""Scrambled Eggs"",
    ""howTo"": ""Heat butter in a non-stick pan over medium heat. Add eggs and season with salt and pepper. Cook, stirring constantly, until eggs are thickened and no visible liquid egg remains, about 3 minutes. Serve immediately."",
    ""ingredients"": [
        ""Eggs"",
        ""Butter"",
        ""Salt"",
        ""Pepper""
    ],

    ""requiredQuantity"": ""Eggs: 2-3, Butter: 1 tablespoon, Salt: to taste, Pepper: to taste""
}",stop
7,Scrambled Eggs,"I want to make a dish, Name of the Dish : ""Scrambled Eggs"", Give me response back ONLY in the below JSON format, fill up everything that is enclosed by <..> (angle brackets):
{
    ""dishName"": ""<NAME OF THE DISH>"",
    ""howTo"": ""<HOW TO MAKE THE DISH IN HTML/TEXT FORMAT YOU CAN SKIP NEW LINE CHARACTER>"",
    ""ingredients"": [
        ""<INGREDITENT1 NAME ONLY>"",
        ""<INGREDITENT2 NAME ONLY>"",
        ""<INGREDITENT3 NAME ONLY>"".... and so on
    ],

    ""requiredQuantity"": ""<INGREDIENT ALONG WITH THEIR QUANTITY IN HTML TABLE AS TEXT YOU CAN SKIP NEW LINE CHARACTER>""
}",MAKE-DISH->Scrambled Eggs,"

{
    ""dishName"": ""Scrambled Eggs"",
    ""howTo"": ""<ol><li>Break 2 eggs into a bowl.</li><li>Add salt and pepper to taste.</li><li>Whisk the eggs until they are blended.</li><li>Melt butter in a non-stick pan over medium heat.</li><li>Pour the egg mixture into the pan.</li><li>As the eggs begin to set, gently pull the eggs across the pan with a spatula, forming large soft curds.</li><li>Continue cooking – pulling, lifting and folding eggs – until thickened and no visible liquid egg remains.</li><li>Remove from heat, add cheese, and serve.</li></ol>"",
    ""ingredients"": [
        ""Eggs"",
        ""Salt"",
        ""Pepper"",
        ""Butter"",
        ""Cheese""
    ],

    ""requiredQuantity"": ""<table><tr><td>Eggs</td><td>2</td></tr><tr><td>Salt</td><td>To Taste</td></tr><tr><td>Pepper</td><td>To Taste</td></tr><tr><td>Butter</td><td>1 tablespoon</td></tr><tr><td>Cheese</td><td>Optional</td></tr></table>""
}",stop
8,Scrambled Eggs,"I want to make a dish, Name of the Dish : ""Scrambled Eggs"", Give me response back ONLY in the below JSON format, fill up everything that is enclosed by <..> (angle brackets):
{
    ""dishName"": ""<NAME OF THE DISH>"",
    ""howTo"": ""<HOW TO MAKE THE DISH IN HTML/TEXT FORMAT YOU CAN SKIP NEW LINE CHARACTER>"",
    ""ingredients"": [
        ""<INGREDITENT1 NAME ONLY>"",
        ""<INGREDITENT2 NAME ONLY>"",
        ""<INGREDITENT3 NAME ONLY>"".... and so on
    ],

    ""requiredQuantity"": ""<INGREDIENT ALONG WITH THEIR QUANTITY IN HTML TABLE AS TEXT YOU CAN SKIP NEW LINE CHARACTER>""
}",MAKE-DISH->Scrambled Eggs,"

{
    ""dishName"": ""Scrambled Eggs"",
    ""howTo"": ""Break 2 eggs into a bowl. Add a pinch of salt and pepper. Whisk the eggs with a fork. Heat butter in a pan over medium heat. Pour the eggs into the pan. Stir the eggs with a spatula. Cook until the eggs are set. Serve with toast."",
    ""ingredients"": [
        ""Eggs"",
        ""Salt"",
        ""Pepper"",
        ""Butter""
    ],

    ""requiredQuantity"": ""Eggs: 2<br>Salt: Pinch<br>Pepper: Pinch<br>Butter: 1 tablespoon""
}",stop
9,Guacamole,"I want to make a dish, Name of the Dish : ""Guacamole"", Give me response back ONLY in the below JSON format, fill up everything that is enclosed by <..> (angle brackets):
{
    ""dishName"": ""<NAME OF THE DISH>"",
    ""howTo"": ""<HOW TO MAKE THE DISH IN HTML/TEXT FORMAT YOU CAN SKIP NEW LINE CHARACTER>"",
    ""ingredients"": [
        ""<INGREDITENT1 NAME ONLY>"",
        ""<INGREDITENT2 NAME ONLY>"",
        ""<INGREDITENT3 NAME ONLY>"".... and so on
    ],

    ""requiredQuantity"": ""<INGREDIENT ALONG WITH THEIR QUANTITY IN HTML TABLE AS TEXT YOU CAN SKIP NEW LINE CHARACTER>""
}",MAKE-DISH->Guacamole,"

{
    ""dishName"": ""Guacamole"",
    ""howTo"": ""Mash together 2 avocados, 1/4 cup diced red onion, 1/4 cup diced tomato, 2 tablespoons chopped cilantro, 1 tablespoon lime juice, 1/2 teaspoon garlic powder, 1/4 teaspoon salt, and 1/4 teaspoon ground black pepper in a bowl until desired consistency is reached."",
    ""ingredients"": [
        ""Avocados"",
        ""Red Onion"",
        ""Tomato"",
        ""Cilantro"",
        ""Lime Juice"",
        ""Garlic Powder"",
        ""Salt"",
        ""Ground Black Pepper""
    ],

    ""requiredQuantity"": ""Avocados: 2<br>Red Onion: 1/4 cup<br>Tomato: 1/4 cup<br>Cilantro: 2 tablespoons<br>Lime Juice: 1 tablespoon<br>Garlic Powder: 1/2 teaspoon<br>Salt: 1/4 teaspoon<br>Ground Black Pepper: 1/4 teaspoon""
}",stop
